positionName,salary,company,rating,reviewsCount,jobTypeConsolidated
"Analyst, Data Science, ARTIS","£43,440 - £48,870 a year",Bank of England,,,Part-time
"Research Scientist Intern, NLP (PhD)",,Meta,4.1,746.0,Internship
Data Science Consultant,"£45,000 - £65,000 a year",Paradigm Tech Limited,,,Full-time
London Office - Data Scientist - 2-3 yrs experience,,L.E.K. Consulting,3.9,55.0,
Senior Applied Scientist,,UiPath,3.4,27.0,Full-time
"Data Science, Summer Intern 2024",,MarketCast UK Ltd,,,Part-time
Senior Machine Learning Researcher NLP,"£75,000 - £85,000 a year",Arcturis Data,,,Full-time
Managing Consultant - Analytics & Insights,,Capgemini Invent,3.4,40.0,Permanent
ESG Ratings Analyst,,Institutional Shareholder Services,,,Full-time
"Graduate Engineer, IT, Tech, AI, Machine Learning, IoT","£37,000 - £38,000 a year",Jam Management Consultancy Ltd,,,"Permanent, Graduate, Full-time"
Data Scientist - LLM,,Ignite Digital,,,
Machine Learning Engineer,,Liftoff,,,
Senior Machine Learning Scientist,,THG,3.1,49.0,
Business Intelligence Analyst,,Praetura Group ltd,,,Full-time
Lead Data Scientist,"£70,000 - £90,000 a year",Ellis Samuel Associates Limited,,,"Permanent, Full-time"
Data Scientist - Energy Trading,"£60,000 - £90,000 a year",Mint Selection,,,Permanent
Machine Learning Engineer - Computer Vision,,Pentatonic GmbH,,,Temporary contract
Principal Data Scientist – National Standardised Assessments For Scotland,,Scottish Government,4.0,76.0,Full-time
Senior Data Scientist,,Watchfinder,3.1,17.0,
Junior Data Analytics Consultant,"£25,000 - £30,000 a year",Snap Analytics,,,Full-time
Analytics Lead - Senior Data Scientist,"£50,952 - £57,349 a year",Colchester General Hospital,3.7,28.0,Full-time
Business Intelligence Analyst,,Praetura Group ltd,,,Full-time
Data Scientist,"£40,000 - £50,000 a year",Electus Recruitment Solutions Ltd,,,Permanent
No10 Data Scientist,"£58,800 a year",Cabinet Office,4.0,25.0,"Permanent, Full-time"
Lead Machine Learning / AI Engineer,,Foods Connected,,,Full-time
Data Scientist,,Datatech Analytics,,,Permanent
AI and Data Scientist in Digital Healthcare (KTP Associate),"£28,000 - £35,000 a year",Nottingham Trent University,4.1,228.0,Fixed term contract
Lead Statistician - Health Economic Modelling HEOR,,Proclinical Staffing,3.9,18.0,Permanent
Lecturer / Senior Lecturer in Natural Language Processing,"£45,585 - £68,857 a year",University of Manchester,4.2,323.0,Permanent
Senior Data Scientist,"£75,000 - £95,000 a year",ADLIB,,,Permanent
Senior Data Scientist (Onsite),"£80,000 - £100,000 a year",Elyos Energy,,,
Senior Big Data Solutions Architect,,Databricks,2.8,12.0,
Senior Research Associate in Data Science for Climate (Fixed Term),"£45,585 - £57,696 a year",University of Cambridge,4.2,183.0,Fixed term contract
Technical Lead – Knowledge Graphs,"Up to £140,000 a year",ADLIB,,,Permanent
Data Scientist,,Sainsburys,3.5,13733.0,"Permanent, Full-time"
Machine Learning Signal Construction Quant,,Eka finance,,,Full-time
Senior Applied Machine Learning Engineer,,Roku,3.1,27.0,
Head of Data Science,,Bloom & Wild,2.0,4.0,Full-time
Senior Data Scientist – Pricing and Revenue Management,,easyJet,3.9,469.0,Full-time
Machine Learning Specialist for Financial Data Quality (KTP Associate),"£45,000 - £50,000 a year",Nottingham Trent University,4.1,228.0,Fixed term contract
Data Scientist Python SQL - Digital Bank,"£50,000 - £60,000 a year",Client Server,4.4,8.0,Permanent
Data Modeler (Lead II - Data Science),,UST,3.7,1036.0,Full-time
"Data Engineer, Analytics",,WhatsApp,4.1,746.0,
Data Science & Analytics Specialist,,Jet2.com and Jet2holidays,3.4,580.0,"Permanent, Full-time"
Machine Learning Engineer NLP,£650 - £700 a day,Client Server,4.4,8.0,Fixed term contract
Lead Data Scientist,,AXIS Insurance,,,Full-time
Head of Marketing Analytics,"£130,000 - £150,000 a year",Harnham,4.6,9.0,Permanent
"Machine Learning Scientist, Computational Biologics Design, Oncology R&D",,AstraZeneca,4.0,2404.0,Full-time
Data Scientist,"£50,000 - £65,000 a year",Taylor Root Global Legal Recruitment,,,Permanent
SWE- Camera Software - Sr. Machine Learning Research Engineer,,Apple,4.1,12696.0,Full-time
PHD NLP Quant Specialists,,Eka Finance,,,Full-time
Generative AI Security Assurance Analyst (Hybrid),,Citi,3.9,19734.0,Full-time
Systematic Machine Learning Quant Researcher,,Eka Finance,,,Full-time
Senior Analytics Engineer,,Butternut Box,4.2,48.0,
Technical Lead Data Scientist,"£75,000 - £110,000 a year",Twenty First Group,,,Full-time
Senior NLP Researcher,,Microsoft,4.2,8318.0,Full-time
Postdoctoral Researcher In Computer Vision For Automated Chemistry - Grade 7,"£44,264 a year",University of Liverpool,4.1,239.0,
"Director of Data Science & Machine Learning, UK",,Multiverse,3.8,4.0,Full-time
Research Assistant/Associate in Machine Learning (Fixed Term),"£29,605 - £33,966 a year",University of Cambridge,4.2,183.0,Fixed term contract
Senior Pricing Data Scientist,,marshmallow,,,Full-time
Senior AI Engineer - Platform,,Rapid7,,,
Social & Contextual Analytics Director.,,Ogilvy,4.0,818.0,"Permanent, Full-time"
Senior learning Specialist - Data Science,,QA Limited,3.4,118.0,"Permanent, Full-time"
Senior Software Engineer - Machine Learning Frameworks,,Arm,4.2,79.0,
Reader (Associate Professor) / Senior Lecturer in Statistical Data Science,"£61,198 - £68,857 a year",UNIVERSITY OF YORK,4.1,124.0,Full-time
Senior Java Developer (NLP platform),,Novasyte,,,Full-time
Principal Data Scientist,"£100,000 - £120,000 a year",Harnham,4.6,9.0,Permanent
Head of Data Science – Credit,"£120,000 - £140,000 a year",Harnham,4.6,9.0,Permanent
"Statisticians, Data Science",,Astellas,3.7,255.0,"Permanent, Full-time"
Assistant/Associate Professor in Artificial Intelligence and Human Systems (COM_02 & 03),"£45,585 - £54,395 a year",Durham University,4.2,170.0,"Permanent, Full-time"
Data Scientist,£40 - £45 an hour,Huntress,3.5,55.0,Temporary contract
Credit Data Scientist,"£45,000 - £65,000 a year",Harnham,4.6,9.0,Permanent
Senior Behavioural Data Scientist,"£70,000 - £90,000 a year",Harnham,4.6,9.0,Permanent
Research Associate in Data Science (ECO-Sprint project),"£31,414 - £45,611 a year",University of Ulster,4.1,63.0,"Full-time, Fixed term contract"
"Associate Planner, Data Science",,Ralph Lauren,3.8,3363.0,
Data & Analytics Lead,"£100,000 - £115,000 a year",Harnham,4.6,9.0,Permanent
"Principal Applied Scientist, Personalization Team",,Amazon Development Centre (Scotland) Limited,3.5,46920.0,Full-time
"AI/ML - Data Engineer (NLP/Speech), Siri and Information Intelligence",,Apple,4.1,12696.0,
Head of Data Science,"£110,000 - £130,000 a year",Harnham,4.6,9.0,Permanent
Lecturer - Software Development & Data Science,"£35,170 - £43,357 a year",Fife College,4.0,37.0,"Part-time, Temporary contract"
Senior Data Scientist,,Indotronix UK,,,Permanent
AI/ML Engineer,,GSK,4.1,5201.0,
Machine Learning Software Engineer,,Redgate Software,4.2,5.0,
Junior Data Scientist - Crypto exp!,"£50,000 - £60,000 a year",Understanding Recruitment,,,Permanent
